4300 1281 
4095 1470 
3975 1292 
3865 1520 
3800 646 
3790 1656 
3770 1024 
3770 1314 
3650 1292 
3605 1449 
3600 1344 
3595 1248 
3590 960 
3550 912 
3525 1386 
3435 1100 
3430 774 
3330 882 
3300 992 
3285 720 
3265 720 
3255 1071 
3170 1020 
3165 855 
3150 765 
3130 1088 
3075 693 
3060 1120 
3045 848 
3020 714 
3010 912 
2880 960 
2820 1008 
2805 684 
2755 1020 
2730 930 
2705 752 
2665 780 
2660 690 
2655 576 
2615 736 
2585 585 
2570 1080 
2560 684 
2545 832 
2460 533 
2400 484 
2230 768 
2040 608 
1655 300 
